Name,Nickname,extended_name,Year,Month,Day,Link to Profile,Unnamed: 5,ZODIAC_EMOJI,ZODIAC,HOROSCOPE,ANIMAL_EMOJI,ANIMAL,ELEMENT,YIN_YANG,HEAVENLY_STEM,EARTHLY_BRANCH,GENDER,ETHNICITY,BDAY,BIRTHDAY,DOB,AGE
The Alchemist,Paulo Coelho,The Alchemist by Paulo Coelho,1988,4,25,https://www.goodreads.com/book/show/865,,📚,Taurus,"Spiritual adventure",📖,Book,Earth,Yang,戊,辰,Literature,Brazilian,1988-04-25,1988-04-25,1988-04-25,35
The Little Prince,Antoine de Saint-Exupéry,The Little Prince by Antoine de Saint-Exupéry,1943,4,6,https://www.goodreads.com/book/show/157993,,📚,Aries,"Philosophical children's tale",📖,Book,Fire,Yin,癸,未,Literature,French,1943-04-06,1943-04-06,1943-04-06,80
Jonathan Livingston Seagull,Richard Bach,Jonathan Livingston Seagull by Richard Bach,1970,1,1,https://www.goodreads.com/book/show/71728,,📚,Capricorn,"Inspirational fable",📖,Book,Earth,Yang,庚,戌,Literature,English,1970-01-01,1970-01-01,1970-01-01,53
Illusions,Richard Bach,Illusions by Richard Bach,1977,1,1,https://www.goodreads.com/book/show/29946,,📚,Capricorn,"Spiritual adventure",📖,Book,Earth,Yin,丁,巳,Literature,English,1977-01-01,1977-01-01,1977-01-01,46
The Tao of Pooh,Benjamin Hoff,The Tao of Pooh by Benjamin Hoff,1982,1,1,https://www.goodreads.com/book/show/243349,,📚,Capricorn,"Taoism philosophy",📖,Book,Earth,Yang,壬,戌,Literature,English,1982-01-01,1982-01-01,1982-01-01,41
The Te of Piglet,Benjamin Hoff,The Te of Piglet by Benjamin Hoff,1992,1,1,https://www.goodreads.com/book/show/243350,,📚,Capricorn,"Taoism philosophy sequel",📖,Book,Earth,Yang,壬,申,Literature,English,1992-01-01,1992-01-01,1992-01-01,31
The Art of War,Sun Tzu,The Art of War by Sun Tzu,2005,1,1,https://www.goodreads.com/book/show/10534,,📚,Capricorn,"Military strategy",📖,Book,Earth,Yin,乙,酉,Literature,Chinese,2005-01-01,2005-01-01,2005-01-01,18
The Tao Te Ching,Lao Tzu,The Tao Te Ching by Lao Tzu,2006,1,1,https://www.goodreads.com/book/show/67896,,📚,Capricorn,"Taoist philosophy",📖,Book,Earth,Yang,丙,戌,Literature,Chinese,2006-01-01,2006-01-01,2006-01-01,17
The Prophet,Kahlil Gibran,The Prophet by Kahlil Gibran,1923,9,1,https://www.goodreads.com/book/show/2547,,📚,Virgo,"Spiritual poetry",📖,Book,Earth,Yin,癸,亥,Literature,Lebanese,1923-09-01,1923-09-01,1923-09-01,100
Siddhartha,Hermann Hesse,Siddhartha by Hermann Hesse,1922,1,1,https://www.goodreads.com/book/show/52036,,📚,Capricorn,"Spiritual journey",📖,Book,Earth,Yang,壬,戌,Literature,German,1922-01-01,1922-01-01,1922-01-01,101
Steppenwolf,Hermann Hesse,Steppenwolf by Hermann Hesse,1927,1,1,https://www.goodreads.com/book/show/16631,,📚,Capricorn,"Existential novel",📖,Book,Earth,Yin,丁,卯,Literature,German,1927-01-01,1927-01-01,1927-01-01,96
Narcissus and Goldmund,Hermann Hesse,Narcissus and Goldmund by Hermann Hesse,1930,1,1,https://www.goodreads.com/book/show/52451,,📚,Capricorn,"Philosophical novel",📖,Book,Earth,Yang,庚,午,Literature,German,1930-01-01,1930-01-01,1930-01-01,93
Demian,Hermann Hesse,Demian by Hermann Hesse,1919,1,1,https://www.goodreads.com/book/show/243341,,📚,Capricorn,"Coming-of-age novel",📖,Book,Earth,Yin,己,未,Literature,German,1919-01-01,1919-01-01,1919-01-01,104
The Glass Bead Game,Hermann Hesse,The Glass Bead Game by Hermann Hesse,1943,1,1,https://www.goodreads.com/book/show/16634,,📚,Capricorn,"Philosophical novel",📖,Book,Earth,Yin,癸,未,Literature,German,1943-01-01,1943-01-01,1943-01-01,80
Beneath the Wheel,Hermann Hesse,Beneath the Wheel by Hermann Hesse,1906,1,1,https://www.goodreads.com/book/show/243342,,📚,Capricorn,"Educational critique",📖,Book,Earth,Yang,丙,午,Literature,German,1906-01-01,1906-01-01,1906-01-01,117
Rosshalde,Hermann Hesse,Rosshalde by Hermann Hesse,1914,1,1,https://www.goodreads.com/book/show/243343,,📚,Capricorn,"Artistic life novel",📖,Book,Earth,Yang,甲,寅,Literature,German,1914-01-01,1914-01-01,1914-01-01,109
Knulp,Hermann Hesse,Knulp by Hermann Hesse,1915,1,1,https://www.goodreads.com/book/show/243344,,📚,Capricorn,"Wandering life novel",📖,Book,Earth,Yin,乙,卯,Literature,German,1915-01-01,1915-01-01,1915-01-01,108
The Journey to the East,Hermann Hesse,The Journey to the East by Hermann Hesse,1932,1,1,https://www.goodreads.com/book/show/243345,,📚,Capricorn,"Spiritual journey",📖,Book,Earth,Yang,壬,申,Literature,German,1932-01-01,1932-01-01,1932-01-01,91
Strange News from Another Star,Hermann Hesse,Strange News from Another Star by Hermann Hesse,1919,1,1,https://www.goodreads.com/book/show/243346,,📚,Capricorn,"Short story collection",📖,Book,Earth,Yin,己,未,Literature,German,1919-01-01,1919-01-01,1919-01-01,104
Wandering,Hermann Hesse,Wandering by Hermann Hesse,1920,1,1,https://www.goodreads.com/book/show/243347,,📚,Capricorn,"Poetry and prose",📖,Book,Earth,Yang,庚,申,Literature,German,1920-01-01,1920-01-01,1920-01-01,103
If the War Goes On,Hermann Hesse,If the War Goes On by Hermann Hesse,1970,1,1,https://www.goodreads.com/book/show/243348,,📚,Capricorn,"Political essays",📖,Book,Earth,Yang,庚,戌,Literature,German,1970-01-01,1970-01-01,1970-01-01,53
My Belief,Hermann Hesse,My Belief by Hermann Hesse,1974,1,1,https://www.goodreads.com/book/show/243349,,📚,Capricorn,"Essays on life",📖,Book,Earth,Yang,甲,寅,Literature,German,1974-01-01,1974-01-01,1974-01-01,49
Crisis,Hermann Hesse,Crisis by Hermann Hesse,1975,1,1,https://www.goodreads.com/book/show/243350,,📚,Capricorn,"Poetry from difficult period",📖,Book,Earth,Yin,乙,卯,Literature,German,1975-01-01,1975-01-01,1975-01-01,48
Hours in the Garden,Hermann Hesse,Hours in the Garden by Hermann Hesse,1976,1,1,https://www.goodreads.com/book/show/243351,,📚,Capricorn,"Later poetry",📖,Book,Earth,Yang,丙,辰,Literature,German,1976-01-01,1976-01-01,1976-01-01,47
The Seasons of the Soul,Hermann Hesse,The Seasons of the Soul by Hermann Hesse,1979,1,1,https://www.goodreads.com/book/show/243352,,📚,Capricorn,"Nature poetry",📖,Book,Earth,Yin,己,未,Literature,German,1979-01-01,1979-01-01,1979-01-01,44
Soul of the Age,Hermann Hesse,Soul of the Age by Hermann Hesse,2011,9,27,https://www.goodreads.com/book/show/12838963,,📚,Libra,"Hesse biography",📖,Book,Air,Yin,辛,卯,Literature,English,2011-09-27,2011-09-27,2011-09-27,12
The Dharma Bums,Jack Kerouac,The Dharma Bums by Jack Kerouac,1958,1,1,https://www.goodreads.com/book/show/5147,,📚,Capricorn,"Beat generation novel",📖,Book,Earth,Yang,戊,戌,Literature,English,1958-01-01,1958-01-01,1958-01-01,65
On the Road,Jack Kerouac,On the Road by Jack Kerouac,1957,9,5,https://www.goodreads.com/book/show/70401,,📚,Virgo,"Beat generation classic",📖,Book,Earth,Yin,丁,酉,Literature,English,1957-09-05,1957-09-05,1957-09-05,66
Big Sur,Jack Kerouac,Big Sur by Jack Kerouac,1962,1,1,https://www.goodreads.com/book/show/5148,,📚,Capricorn,"Later Kerouac novel",📖,Book,Earth,Yang,壬,寅,Literature,English,1962-01-01,1962-01-01,1962-01-01,61
The Subterraneans,Jack Kerouac,The Subterraneans by Jack Kerouac,1958,1,1,https://www.goodreads.com/book/show/5149,,📚,Capricorn,"Beat romance",📖,Book,Earth,Yang,戊,戌,Literature,English,1958-01-01,1958-01-01,1958-01-01,65
Tristessa,Jack Kerouac,Tristessa by Jack Kerouac,1960,1,1,https://www.goodreads.com/book/show/5150,,📚,Capricorn,"Mexico novel",📖,Book,Earth,Yang,庚,子,Literature,English,1960-01-01,1960-01-01,1960-01-01,63
Lonesome Traveler,Jack Kerouac,Lonesome Traveler by Jack Kerouac,1960,1,1,https://www.goodreads.com/book/show/5151,,📚,Capricorn,"Travel essays",📖,Book,Earth,Yang,庚,子,Literature,English,1960-01-01,1960-01-01,1960-01-01,63
Desolation Angels,Jack Kerouac,Desolation Angels by Jack Kerouac,1965,1,1,https://www.goodreads.com/book/show/5152,,📚,Capricorn,"Spiritual novel",📖,Book,Earth,Yin,乙,巳,Literature,English,1965-01-01,1965-01-01,1965-01-01,58
The Scripture of the Golden Eternity,Jack Kerouac,The Scripture of the Golden Eternity by Jack Kerouac,1960,1,1,https://www.goodreads.com/book/show/5153,,📚,Capricorn,"Spiritual poetry",📖,Book,Earth,Yang,庚,子,Literature,English,1960-01-01,1960-01-01,1960-01-01,63
Book of Dreams,Jack Kerouac,Book of Dreams by Jack Kerouac,1961,1,1,https://www.goodreads.com/book/show/5154,,📚,Capricorn,"Dream journal",📖,Book,Earth,Yin,辛,丑,Literature,English,1961-01-01,1961-01-01,1961-01-01,62
Good Blonde & Others,Jack Kerouac,Good Blonde & Others by Jack Kerouac,1993,1,1,https://www.goodreads.com/book/show/5155,,📚,Capricorn,"Essays collection",📖,Book,Earth,Yin,癸,酉,Literature,English,1993-01-01,1993-01-01,1993-01-01,30
Atop an Underwood,Jack Kerouac,Atop an Underwood by Jack Kerouac,1999,1,1,https://www.goodreads.com/book/show/5156,,📚,Capricorn,"Early writings",📖,Book,Earth,Yin,己,卯,Literature,English,1999-01-01,1999-01-01,1999-01-01,24
Orpheus Emerged,Jack Kerouac,Orpheus Emerged by Jack Kerouac,2000,1,1,https://www.goodreads.com/book/show/5157,,📚,Capricorn,"Early novel",📖,Book,Earth,Yang,庚,辰,Literature,English,2000-01-01,2000-01-01,2000-01-01,23
Door Wide Open,Jack Kerouac,Door Wide Open by Jack Kerouac,2000,1,1,https://www.goodreads.com/book/show/5158,,📚,Capricorn,"Letters collection",📖,Book,Earth,Yang,庚,辰,Literature,English,2000-01-01,2000-01-01,2000-01-01,23
Book of Haikus,Jack Kerouac,Book of Haikus by Jack Kerouac,2003,1,1,https://www.goodreads.com/book/show/5159,,📚,Capricorn,"Poetry collection",📖,Book,Earth,Yin,癸,未,Literature,English,2003-01-01,2003-01-01,2003-01-01,20
Wake Up,Jack Kerouac,Wake Up by Jack Kerouac,2008,1,1,https://www.goodreads.com/book/show/5160,,📚,Capricorn,"Spiritual biography",📖,Book,Earth,Yang,戊,子,Literature,English,2008-01-01,2008-01-01,2008-01-01,15
Beat Generation,Jack Kerouac,Beat Generation by Jack Kerouac,2005,1,1,https://www.goodreads.com/book/show/5161,,📚,Capricorn,"Play script",📖,Book,Earth,Yin,乙,酉,Literature,English,2005-01-01,2005-01-01,2005-01-01,18
The Sea Is My Brother,Jack Kerouac,The Sea Is My Brother by Jack Kerouac,2011,3,1,https://www.goodreads.com/book/show/12838964,,📚,Pisces,"Early novel",📖,Book,Water,Yin,辛,卯,Literature,English,2011-03-01,2011-03-01,2011-03-01,12
The Haunted Life,Jack Kerouac,The Haunted Life by Jack Kerouac,2014,4,1,https://www.goodreads.com/book/show/20821184,,📚,Aries,"Early novel",📖,Book,Fire,Yang,甲,午,Literature,English,2014-04-01,2014-04-01,2014-04-01,9
The Unknown Kerouac,Jack Kerouac,The Unknown Kerouac by Jack Kerouac,2016,9,27,https://www.goodreads.com/book/show/28695720,,📚,Libra,"Rare works",📖,Book,Air,Yang,丙,申,Literature,English,2016-09-27,2016-09-27,2016-09-27,7
The Americans,Jack Kerouac,The Americans by Jack Kerouac,1999,1,1,https://www.goodreads.com/book/show/5162,,📚,Capricorn,"Photography text",📖,Book,Earth,Yin,己,卯,Literature,English,1999-01-01,1999-01-01,1999-01-01,24
Heaven & Other Poems,Jack Kerouac,Heaven & Other Poems by Jack Kerouac,1977,1,1,https://www.goodreads.com/book/show/5163,,📚,Capricorn,"Poetry collection",📖,Book,Earth,Yin,丁,巳,Literature,English,1977-01-01,1977-01-01,1977-01-01,46
Pomes All Sizes,Jack Kerouac,Pomes All Sizes by Jack Kerouac,1992,1,1,https://www.goodreads.com/book/show/5164,,📚,Capricorn,"Poetry collection",📖,Book,Earth,Yang,壬,申,Literature,English,1992-01-01,1992-01-01,1992-01-01,31
Old Angel Midnight,Jack Kerouac,Old Angel Midnight by Jack Kerouac,1993,1,1,https://www.goodreads.com/book/show/5165,,📚,Capricorn,"Experimental writing",📖,Book,Earth,Yin,癸,酉,Literature,English,1993-01-01,1993-01-01,1993-01-01,30
Trip Trap,Jack Kerouac,Trip Trap by Jack Kerouac,1994,1,1,https://www.goodreads.com/book/show/5166,,📚,Capricorn,"Haiku with friends",📖,Book,Earth,Yang,甲,戌,Literature,English,1994-01-01,1994-01-01,1994-01-01,29
Pull My Daisy,Jack Kerouac,Pull My Daisy by Jack Kerouac,1961,1,1,https://www.goodreads.com/book/show/5167,,📚,Capricorn,"Film narration",📖,Book,Earth,Yin,辛,丑,Literature,English,1961-01-01,1961-01-01,1961-01-01,62
Hymn God Prayers,Jack Kerouac,Hymn God Prayers by Jack Kerouac,1994,1,1,https://www.goodreads.com/book/show/5168,,📚,Capricorn,"Spiritual writings",📖,Book,Earth,Yang,甲,戌,Literature,English,1994-01-01,1994-01-01,1994-01-01,29
The Portable Jack Kerouac,Jack Kerouac,The Portable Jack Kerouac by Jack Kerouac,1995,1,1,https://www.goodreads.com/book/show/5169,,📚,Capricorn,"Works collection",📖,Book,Earth,Yin,乙,亥,Literature,English,1995-01-01,1995-01-01,1995-01-01,28
Jack Kerouac: Selected Letters,Jack Kerouac,Jack Kerouac: Selected Letters by Jack Kerouac,1995,1,1,https://www.goodreads.com/book/show/5170,,📚,Capricorn,"Letters collection",📖,Book,Earth,Yin,乙,亥,Literature,English,1995-01-01,1995-01-01,1995-01-01,28
Some of the Dharma,Jack Kerouac,Some of the Dharma by Jack Kerouac,1997,1,1,https://www.goodreads.com/book/show/5171,,📚,Capricorn,"Buddhist writings",📖,Book,Earth,Yin,丁,丑,Literature,English,1997-01-01,1997-01-01,1997-01-01,26
At the "Wild Boar",Jack Kerouac,At the "Wild Boar" by Jack Kerouac,1998,1,1,https://www.goodreads.com/book/show/5172,,📚,Capricorn,"Correspondence",📖,Book,Earth,Yang,戊,寅,Literature,English,1998-01-01,1998-01-01,1998-01-01,25
Departed Angels,Jack Kerouac,Departed Angels by Jack Kerouac,2004,1,1,https://www.goodreads.com/book/show/5173,,📚,Capricorn,"Lost works",📖,Book,Earth,Yang,甲,申,Literature,English,2004-01-01,2004-01-01,2004-01-01,19
Jack Kerouac and Allen Ginsberg,Jack Kerouac,Jack Kerouac and Allen Ginsberg by Jack Kerouac,2010,1,1,https://www.goodreads.com/book/show/12838965,,📚,Capricorn,"Correspondence",📖,Book,Earth,Yang,庚,寅,Literature,English,2010-01-01,2010-01-01,2010-01-01,13
Jack Kerouac: Road Novels 1957-1960,Jack Kerouac,Jack Kerouac: Road Novels 1957-1960 by Jack Kerouac,2007,1,1,https://www.goodreads.com/book/show/5174,,📚,Capricorn,"Novels collection",📖,Book,Earth,Yin,丁,亥,Literature,English,2007-01-01,2007-01-01,2007-01-01,16
The Unknown Kerouac,Jack Kerouac,The Unknown Kerouac by Jack Kerouac,2016,9,27,https://www.goodreads.com/book/show/28695720,,📚,Libra,"Rare works",📖,Book,Air,Yang,丙,申,Literature,English,2016-09-27,2016-09-27,2016-09-27,7
